Region,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa,Guinea-Bissau,0.23,0.3,1.02,1.35,1.81,1.9,2.06,2.21,2.35,2.3,2.45,2.67,2.89,3.1,3.32,10.16,17.0,18.0,22.0,28.0,28.0
Latin America and the Caribbean,Haiti,0.23,0.34,0.89,1.65,5.4,6.38,6.8,7.2,7.6,8.1,8.37,9.0,9.8,10.6,11.4,12.2,12.23,31.0,32.47,32.5,32.5
Asia and the Pacific,"Hong Kong, China",27.83,38.67,43.08,52.2,56.4,56.9,60.8,64.8,66.7,69.4,72.0,72.2,72.9,74.2,79.87,84.95,87.48,89.42,90.51,91.74,92.41
Central and Eastern Europe,Hungary,7.0,14.53,16.67,21.63,27.74,38.97,47.06,53.3,61.0,62.0,65.0,68.02,70.58,72.64,75.65,72.83,79.26,76.75,76.07,80.37,84.77
Western Europe and North America,Iceland,44.47,49.39,79.12,83.14,83.88,87.0,89.51,90.6,91.0,93.0,93.39,94.82,96.21,96.55,98.16,98.2,98.24,98.26,99.01,99.0,99.0
Asia and the Pacific,India,0.53,0.66,1.54,1.69,1.98,2.39,2.81,3.95,4.38,5.12,7.5,10.07,11.1,12.3,13.5,14.9,16.5,18.2,20.08,41.0,41.0
Asia and the Pacific,Indonesia,0.93,2.02,2.13,2.39,2.6,3.6,4.76,5.79,7.92,6.92,10.92,12.28,14.52,14.94,17.14,22.06,25.45,32.34,39.9,47.69,53.73
Asia and the Pacific,Iran (Islamic Republic of),0.93,1.48,4.63,6.93,7.49,8.1,8.76,9.47,12.02,13.8,15.9,19.0,22.73,29.95,39.35,45.33,53.23,64.04,70.2,77.77,84.11
Western Europe and North America,Ireland,17.85,23.14,25.85,34.31,36.99,41.61,54.82,61.16,65.34,67.38,69.85,74.89,76.92,78.25,83.49,83.49,83.5,84.11,87.0,87.0,92.0
Western Europe and North America,Israel,20.87,17.38,17.76,19.59,22.77,25.19,27.88,48.13,59.39,63.12,67.5,68.87,70.8,70.25,75.02,77.35,79.65,81.58,83.73,86.79,86.79
